Row ID,Category,Sub-Category,Product Name
1,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
3,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
4,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
5,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
6,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
7,Office Supplies,Art,Newell 322
8,Technology,Phones,Mitel 5320 IP Phone VoIP phone
9,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
10,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
11,Furniture,Tables,Chromcraft Rectangular Conference Tables
12,Technology,Phones,Konftel 250 Conference phone - Charcoal black
13,Office Supplies,Paper,Xerox 1967
14,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
15,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
16,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
17,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
18,Office Supplies,Storage,Fellowes Super Stor/Drawer
19,Office Supplies,Art,Newell 341
20,Technology,Phones,Cisco SPA 501G IP Phone
21,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
22,Office Supplies,Art,Newell 318
23,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
24,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
25,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
26,Office Supplies,Binders,Wilson Jones Active Use Binders
27,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
28,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
29,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
30,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
31,Office Supplies,Envelopes,Poly String Tie Envelopes
32,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
33,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
34,Office Supplies,Art,Lumber Crayons
35,Office Supplies,Paper,Easy-staple paper
36,Technology,Phones,GE 30524EE4
37,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
38,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
39,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
40,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
41,Technology,Phones,Plantronics HL10 Handset Lifter
42,Technology,Phones,Panasonic Kx-TS550
43,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
44,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
45,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
46,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
47,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
48,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
49,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
50,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
51,Office Supplies,Labels,Avery 485
52,Furniture,Furnishings,Longer-Life Soft White Bulbs
53,Furniture,Chairs,"Global Leather Task Chair, Black"
54,Office Supplies,Fasteners,Advantus Push Pins
55,Technology,Phones,AT&T CL83451 4-Handset Telephone
56,Office Supplies,Storage,Home/Office Personal File Carts
57,Office Supplies,Paper,Xerox 232
58,Furniture,Chairs,Novimex Turbo Task Chair
59,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
60,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
61,Office Supplies,Binders,Plastic Binding Combs
62,Office Supplies,Art,Prang Dustless Chalk Sticks
63,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
64,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
65,Office Supplies,Paper,Xerox 1943
66,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
67,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
68,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
69,Technology,Phones,netTALK DUO VoIP Telephone Service
70,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
71,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
72,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
73,Furniture,Chairs,High-Back Leather Manager's Chair
74,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
75,Office Supplies,Storage,Safco Industrial Wire Shelving System
76,Office Supplies,Binders,Economy Binders
77,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
78,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
79,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
80,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
81,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
82,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
83,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
84,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
85,Office Supplies,Storage,Safco Industrial Wire Shelving
86,Furniture,Chairs,Novimex Swivel Fabric Task Chair
87,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
88,Office Supplies,Labels,Avery 511
89,Office Supplies,Storage,Eldon Portable Mobile Manager
90,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
91,Technology,Phones,Panasonic Kx-TS550
92,Office Supplies,Paper,Xerox 1995
93,Office Supplies,Paper,Xerox 1999
94,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
95,Office Supplies,Binders,Ibico Standard Transparent Covers
96,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
97,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
98,Office Supplies,Binders,Trimflex Flexible Post Binders
99,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
100,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
101,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
102,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
103,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
104,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
105,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
106,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
107,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
